Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Title Count,Leaderboard Rank
984,-47,mobeza,-,1320.71,-2.87,1492.45,0.0,57.25,0.96,50,0.0,27,0.0,23,0.0,0,0.0,54.0,0.0,2026-02-01,-,0,1067.0
985,-58,Schedar,-,1320.55,-6.36,1415.18,-3.12,31.54,1.08,490,6.0,208,2.0,276,4.0,6,0.0,42.45,-0.11,2026-07-29,-,0,836.0
-,-,dontatum,-,1320.46,-2.97,1497.0,0.0,58.85,0.99,138,0.0,68,0.0,70,0.0,0,0.0,49.28,0.0,2022-02-28,-,0,-
-,-,legendeman,-,1320.1,-1.39,1671.43,0.0,117.11,0.46,12,0.0,11,0.0,1,0.0,0,0.0,91.67,0.0,2022-02-27,-,0,-
986,-32,Madivar,-,1319.98,2.59,1466.14,-0.97,48.72,-1.19,80,6.0,36,2.0,44,4.0,0,0.0,45.0,-0.95,2026-07-25,-,0,1067.0
987,-78,InGodWeTrust,-,1319.81,-18.39,1485.87,-44.58,55.35,-8.73,50,13.0,19,5.0,31,8.0,0,0.0,38.0,0.16,2026-08-13,-,0,-
-,-,mikykcul,-,1319.79,-1.18,1734.92,0.0,138.38,0.39,8,0.0,6,0.0,2,0.0,0,0.0,75.0,0.0,2022-01-01,-,0,-
988,12,Lenni010,-,1319.74,24.8,1475.62,20.23,51.96,-1.53,64,6.0,28,4.0,35,1.0,1,1.0,43.75,2.37,2026-08-06,-,0,-
989,-51,rstrack,-,1319.52,-4.05,1445.55,0.0,42.01,1.35,132,0.0,65,0.0,65,0.0,2,0.0,49.24,0.0,2026-03-24,-,0,1287.0
990,-78,GamesClaw,-,1319.25,-15.32,1410.67,-15.62,30.47,-0.1,330,16.0,149,4.0,181,12.0,0,0.0,45.15,-1.03,2026-08-01,-,0,805.0
-,-,Maciej,-,1319.22,-2.99,1496.64,0.0,59.14,1.0,81,0.0,41,0.0,40,0.0,0,0.0,50.62,0.0,2024-04-04,-,0,-
-,-,pilalla,-,1318.98,-2.19,1546.91,0.0,75.98,0.73,54,0.0,30,0.0,24,0.0,0,0.0,55.56,0.0,2020-12-06,-,0,-
-,-,fas723,-,1318.97,-2.4,1525.29,0.0,68.77,0.8,45,0.0,22,0.0,22,0.0,1,0.0,48.89,0.0,2024-04-04,-,0,-
-,-,uday,PL,1318.79,-4.3,1436.96,0.0,39.39,1.43,203,0.0,90,0.0,111,0.0,2,0.0,44.33,0.0,2025-04-01,-,0,872.0
991,-8,verbalg,-,1318.77,16.5,1420.46,13.3,33.9,-1.07,150,17.0,67,10.0,83,7.0,0,0.0,44.67,1.81,2026-08-13,-,0,720.0
-,-,ReneTTA,-,1318.72,-2.23,1538.25,0.0,73.18,0.74,36,0.0,25,0.0,11,0.0,0,0.0,69.44,0.0,2024-10-24,-,0,-
992,-21,Biggi86,-,1318.63,9.9,1414.49,10.32,31.95,0.14,268,12.0,127,8.0,141,4.0,0,0.0,47.39,0.91,2026-07-30,-,0,1067.0
-,-,Gadgame,-,1318.61,-2.28,1534.21,0.0,71.86,0.76,40,0.0,20,0.0,19,0.0,1,0.0,50.0,0.0,2024-04-04,-,0,-
-,-,terroirista,-,1318.48,-2.56,1509.63,0.0,63.72,0.85,134,0.0,72,0.0,60,0.0,2,0.0,53.73,0.0,2020-09-24,G,2,-
-,-,InquisitorEisenhorn,US,1318.32,-3.14,1485.72,0.0,55.8,1.05,108,0.0,61,0.0,46,0.0,1,0.0,56.48,0.0,2022-12-04,-,0,-
993,-42,Sapiocek,-,1318.1,-0.3,1414.61,1.94,32.17,0.75,507,12.0,218,6.0,284,6.0,5,0.0,43.0,0.17,2026-07-26,G,2,796.0
994,-18,vgiannog,-,1317.64,11.41,1402.56,12.3,28.31,0.3,283,18.0,124,10.0,156,8.0,3,0.0,43.82,0.8,2026-08-09,-,0,602.0
995,-151,gulper,-,1317.62,-51.2,1407.24,-52.21,29.87,-0.34,323,24.0,139,0.0,179,24.0,5,0.0,43.03,-3.46,2026-07-20,-,0,645.0
-,-,Stu12,-,1317.4,-1.93,1571.49,0.0,84.7,0.64,48,0.0,28,0.0,20,0.0,0,0.0,58.33,0.0,2019-12-30,-,0,-
-,-,Gwindor,-,1317.37,-3.15,1472.96,0.0,51.86,1.05,145,0.0,65,0.0,80,0.0,0,0.0,44.83,0.0,2023-12-03,-,0,-
996,-90,monkeyml,-,1317.33,-21.87,1400.04,-20.14,27.57,0.58,455,18.0,190,2.0,259,16.0,6,0.0,41.76,-1.26,2026-07-16,-,0,640.0
-,-,Kunizial,-,1317.15,-2.12,1548.72,0.0,77.19,0.71,29,0.0,13,0.0,16,0.0,0,0.0,44.83,0.0,2025-02-04,-,0,989.0
