Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Title Count,Leaderboard Rank
1,0,Weidenbaum,DE,1943.18,8.92,2061.12,4.78,39.31,-1.38,160,13.0,120,10.0,40,3.0,0,0.0,75.0,0.17,2026-08-29,GM,27,10.0
2,0,Martin_Pecheur,FR,1927.77,-6.4,2034.65,-8.93,35.63,-0.84,201,13.0,142,7.0,57,6.0,2,0.0,70.65,-1.16,2026-08-28,GM,15,1.0
3,1,SandHippo,CN,1922.45,23.93,2103.86,13.2,60.47,-3.58,55,6.0,41,5.0,14,1.0,0,0.0,74.55,1.08,2026-08-29,-,0,238.0
4,4,DANeo,DE,1911.32,31.07,2026.24,26.19,38.31,-1.62,143,13.0,101,11.0,41,2.0,1,0.0,70.63,1.4,2026-08-31,GM,3,7.0
-,-,Ender_Wiggin,CN,1910.44,-1.94,2164.23,0.0,84.6,0.65,30,0.0,26,0.0,3,0.0,1,0.0,86.67,0.0,2022-07-01,-,0,-
5,-2,saru,CN,1910.15,-3.73,2011.59,-3.13,33.81,0.2,247,10.0,181,6.0,64,4.0,2,0.0,73.28,-0.56,2026-08-19,M,3,4.0
6,0,pv4,BE,1897.44,13.01,2008.22,11.12,36.92,-0.63,150,12.0,97,10.0,48,2.0,5,0.0,64.67,1.63,2026-08-26,GM,14,3.0
7,-2,yaop,CN,1889.17,-8.78,2021.56,-15.24,44.13,-2.15,96,10.0,76,5.0,20,5.0,0,0.0,79.17,-3.39,2026-08-08,G,1,28.0
-,-,vanishadow,CN,1887.49,-2.56,2080.28,0.0,64.26,0.85,51,0.0,36,0.0,14,0.0,1,0.0,70.59,0.0,2025-02-10,-,0,88.0
8,-1,Grozz,RU,1870.56,-11.01,1982.55,-14.51,37.33,-1.17,142,12.0,101,5.0,40,7.0,1,0.0,71.13,-2.72,2026-08-26,M,1,6.0
-,-,Genghisip,UA,1867.49,-2.33,2077.91,0.0,70.14,0.78,51,0.0,40,0.0,7,0.0,4,0.0,78.43,0.0,2024-09-10,GM,9,27.0
