Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Title Count,Leaderboard Rank
-,-,Maraxus,-,896.29,-1.25,1287.16,0.0,130.29,0.42,12,0.0,4,0.0,8,0.0,0,0.0,33.33,0.0,2020-12-02,-,0,-
1297,-30,Lint,-,895.82,-1.63,1196.78,0.0,100.32,0.54,18,0.0,2,0.0,16,0.0,0,0.0,11.11,0.0,2026-02-02,-,0,-
-,-,anakbawang,-,894.85,-1.33,1262.72,0.0,122.62,0.44,22,0.0,5,0.0,17,0.0,0,0.0,22.73,0.0,2018-05-12,-,0,-
1298,-30,Captain_Alex,-,894.34,-1.51,1219.49,0.0,108.38,0.5,12,0.0,2,0.0,10,0.0,0,0.0,16.67,0.0,2025-12-01,-,0,-
1299,-30,joonseok,-,894.01,-1.08,1348.82,0.0,151.6,0.36,6,0.0,3,0.0,3,0.0,0,0.0,50.0,0.0,2026-01-31,-,0,-
1300,-30,gusanitocruz,-,893.54,-1.39,1245.24,0.0,117.23,0.46,16,0.0,3,0.0,13,0.0,0,0.0,18.75,0.0,2025-12-01,-,0,1109.0
1301,-30,S.C.U.D.,-,893.35,-1.35,1255.55,0.0,120.73,0.45,10,0.0,2,0.0,8,0.0,0,0.0,20.0,0.0,2025-12-01,-,0,1067.0
-,-,Naismith,-,891.59,-1.03,1368.58,0.0,159.0,0.34,6,0.0,2,0.0,4,0.0,0,0.0,33.33,0.0,2020-09-06,-,0,-
-,-,TbeDataGuy,-,891.38,-1.46,1226.42,0.0,111.68,0.49,12,0.0,2,0.0,10,0.0,0,0.0,16.67,0.0,2024-04-04,-,0,-
1302,-30,Sopelek,-,891.37,-1.56,1205.77,0.0,104.8,0.52,24,0.0,4,0.0,19,0.0,1,0.0,16.67,0.0,2025-12-01,-,0,912.0
-,-,Hubcap4x4,-,890.83,-1.32,1262.12,0.0,123.76,0.44,18,0.0,7,0.0,11,0.0,0,0.0,38.89,0.0,2019-06-23,-,0,-
-,-,Durdler,-,890.72,-1.01,1374.54,0.0,161.27,0.34,6,0.0,3,0.0,3,0.0,0,0.0,50.0,0.0,2022-06-05,-,0,-
-,-,PikaSex,-,890.5,-1.24,1285.14,0.0,131.55,0.41,12,0.0,3,0.0,9,0.0,0,0.0,25.0,0.0,2020-06-28,-,0,-
-,-,Rusticista,-,890.11,-1.06,1352.35,0.0,154.08,0.35,6,0.0,2,0.0,4,0.0,0,0.0,33.33,0.0,2023-01-15,-,0,-
-,-,bigbird85,-,889.87,-1.64,1188.75,0.0,99.63,0.55,18,0.0,6,0.0,12,0.0,0,0.0,33.33,0.0,2022-03-06,-,0,-
-,-,ValeriaDeMot,-,889.63,-1.25,1282.56,0.0,130.98,0.42,12,0.0,4,0.0,8,0.0,0,0.0,33.33,0.0,2021-02-18,-,0,-
1303,-30,mariyka,RU,889.5,-2.66,1075.58,0.0,62.03,0.89,90,0.0,17,0.0,72,0.0,1,0.0,18.89,0.0,2025-12-02,-,0,1287.0
-,-,Bummelmuhkuh,-,889.38,-1.44,1228.58,0.0,113.07,0.48,18,0.0,7,0.0,11,0.0,0,0.0,38.89,0.0,2021-05-19,-,0,-
1304,-52,ViznessDaBizness,-,888.89,-30.19,1164.0,-64.3,91.7,-11.37,20,4.0,6,0.0,14,4.0,0,0.0,30.0,-7.5,2026-08-12,-,0,-
-,-,Chatir,-,888.81,-1.8,1160.54,0.0,90.58,0.6,30,0.0,6,0.0,24,0.0,0,0.0,20.0,0.0,2021-06-02,-,0,-
-,-,Azazelek,-,888.77,-1.28,1271.75,0.0,127.66,0.43,10,0.0,2,0.0,8,0.0,0,0.0,20.0,0.0,2024-04-04,-,0,-
-,-,Friedthelt,-,888.26,-1.38,1244.0,0.0,118.58,0.46,18,0.0,6,0.0,12,0.0,0,0.0,33.33,0.0,2025-02-03,-,0,1118.0
-,-,Nognix,-,886.46,-1.53,1206.81,0.0,106.78,0.51,14,0.0,4,0.0,9,0.0,1,0.0,28.57,0.0,2024-02-23,-,0,-
-,-,flogae,-,886.45,-0.95,1401.52,0.0,171.69,0.32,6,0.0,4,0.0,2,0.0,0,0.0,66.67,0.0,2021-03-02,-,0,-
-,-,Vxn,-,885.91,-1.64,1185.95,0.0,100.01,0.55,18,0.0,4,0.0,13,0.0,1,0.0,22.22,0.0,2023-06-04,-,0,-
1305,-31,Ivan_A_Destructalot,-,885.06,-1.49,1212.92,0.0,109.29,0.5,12,0.0,2,0.0,10,0.0,0,0.0,16.67,0.0,2026-01-27,-,0,-
-,-,AmazingMrHedge,-,885.02,-0.92,1418.33,0.0,177.77,0.31,6,0.0,2,0.0,4,0.0,0,0.0,33.33,0.0,2024-02-23,-,0,-
-,-,Gyrocopter,-,884.89,-0.95,1397.35,0.0,170.82,0.32,6,0.0,3,0.0,3,0.0,0,0.0,50.0,0.0,2021-03-02,-,0,-
