Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Title Count,Leaderboard Rank
1,0,a440,CA,1962.94,36.75,2089.17,31.09,42.08,-1.89,165,12.0,137,10.0,27,1.0,1,1.0,83.03,0.02,2026-08-22,-,0,26.0
2,2,Grozz,RU,1922.14,29.21,2008.41,25.57,28.76,-1.21,240,30.0,166,24.0,73,6.0,1,0.0,69.17,1.55,2026-08-19,M,1,6.0
3,-1,Genghisip,UA,1907.02,-6.41,2006.78,-7.17,33.26,-0.25,300,12.0,200,6.0,100,6.0,0,0.0,66.67,-0.69,2026-07-30,GM,9,27.0
4,-1,Wawrzyniec,PL,1906.15,5.77,2004.61,6.0,32.82,0.08,300,12.0,209,7.0,90,5.0,1,0.0,69.67,-0.47,2026-08-22,GM,8,94.0
5,0,Martin_Pecheur,FR,1878.59,-7.01,1959.33,-8.54,26.91,-0.51,498,30.0,308,13.0,182,16.0,8,1.0,61.85,-1.18,2026-08-22,GM,15,1.0
6,2,Weidenbaum,DE,1875.65,17.47,1958.23,15.81,27.53,-0.55,480,30.0,302,21.0,177,9.0,1,0.0,62.92,0.48,2026-08-20,GM,27,10.0
7,-1,whsvin,HK,1873.63,-4.23,1994.01,0.0,40.12,1.41,210,0.0,156,0.0,54,0.0,0,0.0,74.29,0.0,2026-04-30,GM,6,64.0
8,5,funestus,NO,1869.9,23.88,1966.31,21.56,32.13,-0.77,237,18.0,159,14.0,78,4.0,0,0.0,67.09,0.88,2026-08-09,GM,2,11.0
9,1,Sylvain,FR,1859.14,5.59,1943.92,6.02,28.26,0.14,441,24.0,283,18.0,153,6.0,5,0.0,64.17,0.62,2026-08-17,M,2,38.0
-,-,Pascalotopia,CA,1857.51,-3.77,1990.51,0.0,44.33,1.26,189,0.0,131,0.0,57,0.0,1,0.0,69.31,0.0,2024-09-10,GM,5,-
10,-3,Dantes,US,1849.26,-19.15,1943.03,-26.73,31.26,-2.53,189,30.0,130,14.0,59,16.0,0,0.0,68.78,-4.18,2026-08-15,P,1,36.0
11,0,Eepogi,FI,1842.04,-9.93,1928.82,-7.69,28.93,0.75,444,12.0,265,4.0,176,8.0,3,0.0,59.68,-0.74,2026-07-30,GM,1,2.0
12,0,Arne,DE,1841.1,-9.77,1926.42,-11.63,28.44,-0.62,270,24.0,175,11.0,93,13.0,2,0.0,64.81,-1.86,2026-07-27,M,4,14.0
13,-4,Majondor,AU,1839.65,-18.22,1923.86,-21.43,28.07,-1.07,375,30.0,234,13.0,140,17.0,1,0.0,62.4,-1.66,2026-08-20,GM,5,8.0
14,0,Plunderteig,CN,1835.5,-2.21,2058.56,0.0,74.35,0.74,42,0.0,35,0.0,7,0.0,0,0.0,83.33,0.0,2025-09-19,-,0,102.0
-,-,Airren,US,1830.41,-3.19,1985.85,0.0,51.81,1.06,144,0.0,106,0.0,37,0.0,1,0.0,73.61,0.0,2025-02-17,GM,5,622.0
15,0,yaop,CN,1824.41,0.08,1915.74,-5.54,30.44,-1.87,207,30.0,146,17.0,60,13.0,1,0.0,70.53,-2.35,2026-07-28,G,1,28.0
16,15,Michiel,BE,1822.2,34.78,1987.05,10.15,54.95,-8.21,54,12.0,42,8.0,12,4.0,0,0.0,77.78,-3.17,2026-08-19,-,0,176.0
17,4,pv4,BE,1817.21,13.89,1907.17,15.67,29.99,0.59,393,12.0,228,10.0,162,2.0,3,0.0,58.02,0.8,2026-08-19,GM,14,3.0
18,1,mwi,PL,1817.18,10.97,1903.83,8.62,28.88,-0.78,243,24.0,151,16.0,91,8.0,1,0.0,62.14,0.5,2026-07-18,M,1,13.0
19,-3,Lambda,ES,1813.85,-4.87,1918.01,0.0,34.72,1.62,204,0.0,128,0.0,73,0.0,3,0.0,62.75,0.0,2026-04-26,GM,2,22.0
-,-,Sandwhale,US,1807.94,-3.94,1933.24,0.0,41.77,1.31,171,0.0,109,0.0,62,0.0,0,0.0,63.74,0.0,2025-08-19,GM,2,82.0
20,3,wolvs,UA,1807.25,4.2,1890.67,3.96,27.81,-0.08,426,24.0,275,14.0,148,10.0,3,0.0,64.55,-0.38,2026-08-06,GM,3,5.0
-,-,St4nkk,PL,1806.5,-3.62,1944.85,0.0,46.12,1.21,129,0.0,99,0.0,30,0.0,0,0.0,76.74,0.0,2025-08-02,M,1,265.0
-,-,Binki,RU,1805.58,-3.68,1942.93,0.0,45.78,1.23,186,0.0,129,0.0,55,0.0,2,0.0,69.35,0.0,2023-12-03,GM,3,-
21,1,Dots,DE,1803.76,0.47,1951.93,-4.16,49.39,-1.54,84,6.0,64,4.0,20,2.0,0,0.0,76.19,-0.73,2026-07-01,GM,2,123.0
